content_id,campaign_id,channel,content_text,tone,cta,compliance_risk,language,character_count,has_link,has_offer_amount,created_date,version,ab_variant
CNT90001,CMP16481,Email,Banking made easy! Download our app for seamless transactions & exclusive offers.,Festive,Upgrade Today,Low,Marathi,81,False,False,2023-04-11,1,B
CNT90002,CMP15065,Call Center,Festive personal loan at lowest EMI ever! Approval in 2 mins. Check eligibility now.,Personalized,Limited Time Offer,Low,English,84,False,False,2023-02-08,5,C
CNT90003,CMP16955,Push Notification,Your account review is pending. Visit nearest branch for premium benefits.,Festive,Enroll Now,Low,Hindi,74,False,False,2024-04-22,2,C
CNT90004,CMP14086,SMS,Senior Citizen Savings Account: Higher interest rates + priority banking services.,Personalized,Download App,Low,Marathi,82,False,False,2024-01-24,2,Control
CNT90005,CMP11900,Email,Flexi FD with premature withdrawal facility. Best rates guaranteed!,Reminder,Claim Offer,Medium,English,67,False,False,2024-08-21,3,C
CNT90006,CMP13159,Call Center,NFO Alert: New fund launch with excellent growth potential. Invest early!,Educational,Book Appointment,Low,Hindi,73,False,False,2023-08-17,1,Control
CNT90007,CMP14287,Call Center,Start SIP with just ₹500/month! Build wealth systematically. Invest now.,Reminder,Know More,Low,English,72,False,True,2025-01-03,5,B
CNT90008,CMP19550,SMS,Your account review is pending. Visit nearest branch for premium benefits.,Festive,Know More,Low,Hindi,74,False,False,2024-04-26,1,B
CNT90009,CMP11457,Email,Flash Sale! Get 22% cashback on all online purchases this weekend!,Personalized,Visit Branch,Low,English,66,False,False,2023-03-20,4,B
CNT90010,CMP17670,WhatsApp,Your account review is pending. Visit nearest branch for premium benefits.,Reminder,Book Appointment,Low,English,74,False,False,2025-01-21,5,A
CNT90011,CMP14636,WhatsApp,Your account review is pending. Visit nearest branch for premium benefits.,Reminder,Check Eligibility,Low,English,74,False,False,2024-01-05,5,C
CNT90012,CMP18136,Push Notification,Refer & Earn: Get ₹36 for every successful savings account referral!,Personalized,Download App,Low,English,68,False,True,2023-08-22,5,Control
CNT90013,CMP15964,SMS,Critical illness cover: Protect against 40+ diseases. Premium starting ₹62/month.,Personalized,Call Us,Low,English,81,False,True,2024-12-16,3,A
CNT90014,CMP10889,WhatsApp,Health insurance renewal due: Upgrade plan for better coverage at same premium!,Reminder,Apply Now,Low,English,79,False,False,2025-08-17,1,Control
CNT90015,CMP19517,WhatsApp,Congratulations! You're pre-approved for multiple products. Check eligibility now!,Reminder,Enroll Now,Low,Hindi,82,False,False,2026-04-29,3,C
CNT90016,CMP12267,Email,Your account review is pending. Visit nearest branch for premium benefits.,Reminder,Get Started,Low,Hindi,74,False,False,2023-11-21,4,B
CNT90017,CMP11704,SMS,Congratulations! You're pre-approved for multiple products. Check eligibility now!,Educational,Enroll Now,Low,Bengali,82,False,False,2025-08-06,2,Control
CNT90018,CMP18994,Call Center,Your account review is pending. Visit nearest branch for premium benefits.,Personalized,Book Appointment,Low,English,74,False,False,2024-11-24,2,C
CNT90019,CMP11333,SMS,Banking made easy! Download our app for seamless transactions & exclusive offers.,Urgent,Book Appointment,Medium,Hindi,81,False,False,2023-11-08,1,Control
CNT90020,CMP11218,SMS,Your account review is pending. Visit nearest branch for premium benefits.,Festive,Upgrade Today,Low,Telugu,74,False,False,2025-05-21,3,B
CNT90021,CMP11830,Push Notification,Your account review is pending. Visit nearest branch for premium benefits.,Personalized,Book Appointment,Low,English,74,False,False,2025-03-07,4,C
CNT90022,CMP11885,Call Center,Health insurance renewal due: Upgrade plan for better coverage at same premium!,Educational,Activate Now,Low,English,79,False,False,2025-09-08,5,C
CNT90023,CMP14140,SMS,Banking made easy! Download our app for seamless transactions & exclusive offers.,Festive,Get Started,Low,English,81,False,False,2023-03-30,3,Control
CNT90024,CMP10103,Call Center,"Dear Customer, your pre-approved loan of ₹45L is ready. Interest starting 10.9% p.a. Apply today!",Festive,Limited Time Offer,Low,English,97,False,True,2026-02-04,2,C
CNT90025,CMP13830,SMS,Open Zero Balance Savings Account online in 5 minutes! Earn up to 15.9% interest.,Promotional,Check Eligibility,Low,English,81,False,False,2024-12-19,1,C
CNT90026,CMP12746,Email,Congratulations! You're pre-approved for multiple products. Check eligibility now!,Reminder,Claim Offer,Low,Hindi,82,False,False,2024-08-13,1,A
CNT90027,CMP15877,SMS,Exclusive offer for our valued customers! 23% off on all products this festive season.,Reminder,Apply Now,Low,Hindi,86,False,False,2025-08-19,3,Control
CNT90028,CMP18617,Push Notification,Your account review is pending. Visit nearest branch for premium benefits.,Reminder,Limited Time Offer,Low,Hindi,74,False,False,2024-09-15,3,C
CNT90029,CMP11358,Call Center,Your account review is pending. Visit nearest branch for premium benefits.,Festive,Visit Branch,Low,English,74,False,False,2024-12-16,3,C
CNT90030,CMP14149,SMS,Exclusive offer for our valued customers! 21% off on all products this festive season.,Urgent,Enroll Now,Low,Tamil,86,False,False,2023-10-03,2,B
CNT90031,CMP15934,Email,Your portfolio review is due. Book free consultation with our expert.,Personalized,Know More,Low,Hindi,69,False,False,2024-10-13,4,A
CNT90032,CMP14448,WhatsApp,Refer & Earn: Get ₹23 for every successful savings account referral!,Personalized,Get Started,Low,English,68,False,True,2024-10-24,5,B
CNT90033,CMP12252,Call Center,Refer & Earn: Get ₹13 for every successful savings account referral!,Promotional,Visit Branch,Low,English,68,False,True,2024-12-11,2,B
CNT90034,CMP19607,SMS,Banking made easy! Download our app for seamless transactions & exclusive offers.,Promotional,Enroll Now,Low,English,81,False,False,2023-12-03,5,A
CNT90035,CMP15627,Email,Exclusive offer for our valued customers! 19% off on all products this festive season.,Personalized,Upgrade Today,Low,Hindi,86,False,False,2025-07-15,1,B
CNT90036,CMP11828,WhatsApp,Congratulations! You're pre-approved for multiple products. Check eligibility now!,Festive,Activate Now,Low,English,82,False,False,2023-05-08,4,C
CNT90037,CMP18576,Call Center,Exclusive offer for our valued customers! 18% off on all products this festive season.,Promotional,Download App,Low,English,86,False,False,2023-03-18,2,A
CNT90038,CMP16579,SMS,Your account review is pending. Visit nearest branch for premium benefits.,Festive,Activate Now,Low,English,74,False,False,2025-06-30,1,C
CNT90039,CMP11480,SMS,Your account review is pending. Visit nearest branch for premium benefits.,Personalized,Limited Time Offer,Low,English,74,False,False,2025-02-28,5,A
CNT90040,CMP15236,Email,Exclusive offer for our valued customers! 21% off on all products this festive season.,Reminder,Claim Offer,Low,English,86,False,False,2025-09-06,4,A
CNT90041,CMP12927,Call Center,Home loan balance transfer: Save up to ₹10L on interest!,Educational,Download App,Low,English,56,False,True,2025-05-20,5,B
CNT90042,CMP11425,Push Notification,Pre-approved personal loan waiting for you! Up to ₹25L at attractive rates. Limited period offer.,Reminder,Enroll Now,Low,Hindi,97,False,True,2023-10-08,3,C
CNT90043,CMP18840,Push Notification,Salary Account upgrade available! Enjoy premium benefits at no extra cost.,Festive,Download App,Low,Telugu,74,False,False,2023-12-30,4,B
CNT90044,CMP15219,Email,Banking made easy! Download our app for seamless transactions & exclusive offers.,Urgent,Limited Time Offer,Medium,English,81,False,False,2024-06-21,2,B
CNT90045,CMP15347,SMS,Credit Card bill payment due? Convert to easy EMI at 0% interest for 3 months.,Festive,Check Eligibility,Low,English,78,False,False,2023-06-22,2,B
CNT90046,CMP19170,SMS,"Dear Customer, your pre-approved loan of ₹18L is ready. Interest starting 13.0% p.a. Apply today!",Promotional,Check Eligibility,Low,English,97,False,True,2025-03-30,2,Control
CNT90047,CMP11562,Email,Credit Card bill payment due? Convert to easy EMI at 0% interest for 3 months.,Urgent,Limited Time Offer,Medium,Marathi,78,False,False,2024-12-16,2,Control
CNT90048,CMP11280,Call Center,Health insurance renewal due: Upgrade plan for better coverage at same premium!,Personalized,Check Eligibility,Low,English,79,False,False,2025-12-29,5,C
CNT90049,CMP14928,Call Center,Congratulations! You're pre-approved for multiple products. Check eligibility now!,Personalized,Upgrade Today,Low,English,82,False,False,2025-08-01,3,C
