feedback_id,campaign_id,feedback_text,sentiment,sentiment_score,issue_category,severity,feedback_source,feedback_date,resolution_status,response_time_hours,customer_segment,channel_of_campaign,repeat_complaint,escalation_required
FB30001,CMP10915,General inquiry about the campaign offer.,Neutral,0.1,General Inquiry,Low,Email,2026-03-12,Resolved,88.0,Existing Loan Customers,Call Center,False,False
FB30002,CMP18192,Your push notification timing is terrible. Getting messages at midnight!,Negative,-0.17,Spam/Excessive Messages,High,Call Center,2025-03-02,Escalated,33.0,Women Professionals,WhatsApp,True,True
FB30003,CMP12364,Promotional message language was different from my preference. Update records!,Negative,-0.02,Technical Issues,High,Branch,2025-04-12,Resolved,145.0,Government Employees,Email,False,True
FB30004,CMP10940,General inquiry about the campaign offer.,Neutral,0.29,General Inquiry,Low,Survey,2025-10-23,Resolved,,Women Professionals,Push Notification,False,False
FB30005,CMP16293,Received personalized offer matching my needs. Good targeting!,Positive,0.83,Appreciation,Low,Chatbot,2023-04-19,In Progress,110.0,Retired Professionals,Call Center,True,False
FB30006,CMP15384,Campaign offer was exactly as mentioned. No hidden charges. Trustworthy!,Positive,0.98,Appreciation,Low,App Review,2024-10-11,In Progress,1.0,NRI Customers,Call Center,False,False
FB30007,CMP13307,General inquiry about the campaign offer.,Neutral,0.2,General Inquiry,Low,Survey,2025-01-28,Resolved,13.0,Premium Card Holders,Email,False,False
FB30008,CMP11411,Your WhatsApp banking is very convenient. Love the quick response!,Positive,0.84,Appreciation,Low,Social Media,2025-03-14,Escalated,110.0,HNI Customers,SMS,False,False
FB30009,CMP10990,Your push notification timing is terrible. Getting messages at midnight!,Negative,-0.11,App Issues,Medium,Social Media,2026-04-22,Resolved,81.0,Mass Affluent,Call Center,False,False
FB30010,CMP19360,Keep getting duplicate messages on both SMS and WhatsApp. Very annoying!,Negative,-0.3,Technical Issues,Medium,Branch,2023-05-09,Escalated,37.0,Retired Professionals,SMS,True,False
FB30011,CMP17217,The credit card offer was not as mentioned. Hidden charges everywhere!,Negative,-0.25,Unsubscribe Failed,High,App Review,2024-04-14,Resolved,40.0,Premium Card Holders,SMS,False,True
FB30012,CMP12138,The EMI calculator in campaign shows different amount than actual EMI.,Negative,-0.23,Spam/Excessive Messages,High,Branch,2024-02-29,In Progress,,First-Time Borrowers,Call Center,True,True
FB30013,CMP14020,The offer mentioned in SMS is not applicable to my account. Misleading information!,Very Negative,-0.45,Spam/Excessive Messages,Medium,Email,2023-02-23,Open,,High-Value Transactors,Call Center,False,False
FB30014,CMP18767,Your campaign mentioned free insurance but it had premium after first year.,Negative,-0.12,Unclear Terms,Low,Social Media,2023-04-09,In Progress,94.0,Mass Affluent,SMS,False,False
FB30015,CMP18248,The special rate for existing customers was same as new customer rate. Disappointed!,Very Negative,-0.64,Privacy Concerns,High,App Review,2025-10-02,Escalated,99.0,Salaried Gen-Z,SMS,False,True
FB30016,CMP11504,Email said exclusive offer but everyone got the same. Not really exclusive!,Very Negative,-0.71,Unsubscribe Failed,High,Email,2024-02-09,Closed,,IT Professionals,SMS,False,True
FB30017,CMP15953,Campaign offer was exactly as mentioned. No hidden charges. Trustworthy!,Positive,0.62,Appreciation,Low,Branch,2025-12-30,Open,164.0,Premium Card Holders,Email,True,False
FB30018,CMP18439,Your app showed pre-approved loan but branch rejected. False advertising!,Negative,-0.07,Irrelevant Offers,Medium,Social Media,2026-02-05,Resolved,143.0,Women Professionals,SMS,False,False
FB30019,CMP12062,Multiple calls from different executives for same product. Poor coordination!,Very Negative,-0.78,Irrelevant Offers,High,App Review,2024-01-03,Resolved,136.0,Mass Affluent,SMS,False,True
FB30020,CMP10440,The EMI calculator in campaign shows different amount than actual EMI.,Very Negative,-0.75,Wrong Customer Details,Critical,Chatbot,2023-08-11,Closed,,Salaried Millennials,SMS,False,True
FB30021,CMP12068,General inquiry about the campaign offer.,Neutral,0.27,General Inquiry,Low,App Review,2026-04-04,In Progress,,Retired Professionals,WhatsApp,True,False
FB30022,CMP19002,Your WhatsApp Business messages are too frequent. Considering blocking!,Negative,-0.02,Duplicate Messages,High,Survey,2026-02-16,In Progress,,Healthcare Workers,Push Notification,False,True
FB30023,CMP10946,Your app showed pre-approved loan but branch rejected. False advertising!,Negative,-0.04,Duplicate Messages,Medium,Email,2023-01-24,In Progress,21.0,Dormant Account Holders,Call Center,False,False
FB30024,CMP18968,Multiple calls from different executives for same product. Poor coordination!,Negative,-0.27,Misleading Information,High,Email,2024-05-25,Resolved,55.0,NRI Customers,Email,False,True
FB30025,CMP16730,The interest rate in SMS was different from what your branch quoted. Cheating!,Very Negative,-0.52,Misleading Information,Low,Chatbot,2023-11-03,Resolved,106.0,NRI Customers,Call Center,False,False
FB30026,CMP18656,Keep getting duplicate messages on both SMS and WhatsApp. Very annoying!,Negative,-0.03,Irrelevant Offers,High,Branch,2025-10-17,In Progress,51.0,First-Time Borrowers,Push Notification,True,True
FB30027,CMP18294,The offer expired but I still received promotional SMS for it. Waste of time!,Very Negative,-0.53,Aggressive Sales,Medium,Call Center,2025-02-15,Resolved,114.0,Senior Citizens,WhatsApp,False,False
FB30028,CMP16329,Great offer on personal loan! Applied and got approval within hours. Impressed!,Positive,0.35,Appreciation,Low,Survey,2024-11-10,Escalated,118.0,IT Professionals,Push Notification,False,False
FB30029,CMP17328,I opted out of marketing communications but still getting WhatsApp promotions.,Negative,-0.0,App Issues,Low,Call Center,2025-10-06,Open,126.0,Salaried Gen-Z,Push Notification,False,False
FB30030,CMP12121,Campaign said instant approval but waiting for 5 days now. False promise!,Very Negative,-0.68,Unclear Terms,Critical,Call Center,2025-12-22,Closed,33.0,Low-Balance Customers,Call Center,False,True
FB30031,CMP14261,Keep getting duplicate messages on both SMS and WhatsApp. Very annoying!,Negative,-0.06,Hidden Charges,Low,Call Center,2023-06-29,In Progress,,Existing Loan Customers,Call Center,False,False
FB30032,CMP14291,Received 5 promotional messages today alone. This is harassment!,Very Negative,-0.4,Duplicate Messages,High,Email,2024-04-23,Closed,164.0,Dormant Account Holders,WhatsApp,False,True
FB30033,CMP13900,Received personalized offer matching my needs. Good targeting!,Positive,0.5,Appreciation,Low,Social Media,2026-03-30,Closed,14.0,Premium Card Holders,WhatsApp,True,False
FB30034,CMP17750,The festive offer on home loan saved me a lot on processing fees. Happy customer!,Positive,0.43,Appreciation,Low,App Review,2024-02-19,Open,53.0,Women Professionals,Email,False,False
FB30035,CMP18580,App crashed when I tried to avail the campaign offer. Losing trust!,Negative,-0.14,Unclear Terms,High,Survey,2025-03-17,Open,91.0,Government Employees,SMS,True,True
FB30036,CMP11874,General inquiry about the campaign offer.,Neutral,0.26,General Inquiry,Low,Survey,2025-08-23,Resolved,93.0,Salaried Gen-Z,Push Notification,False,False
FB30037,CMP18808,Your executive called me during office hours for loan offer. Very unprofessional!,Negative,-0.08,Duplicate Messages,Low,Chatbot,2023-07-15,Resolved,,Dormant Account Holders,Call Center,False,False
FB30038,CMP19872,Your WhatsApp Business messages are too frequent. Considering blocking!,Negative,-0.28,Irrelevant Offers,Low,Chatbot,2023-09-06,Open,51.0,IT Professionals,Call Center,True,False
FB30039,CMP12667,Keep getting duplicate messages on both SMS and WhatsApp. Very annoying!,Negative,-0.18,Spam/Excessive Messages,Medium,Chatbot,2026-02-19,Resolved,162.0,Mass Affluent,Call Center,False,False
FB30040,CMP15496,The cashback promised in campaign never got credited. Follow up required.,Negative,-0.27,Unclear Terms,Low,App Review,2024-06-11,Closed,115.0,Women Professionals,WhatsApp,False,False
FB30041,CMP12337,Loan processing fee was higher than mentioned in campaign. Please clarify!,Very Negative,-0.47,Misleading Information,High,App Review,2025-03-10,Open,41.0,Premium Card Holders,Call Center,True,True
FB30042,CMP18947,The credit card offer was not as mentioned. Hidden charges everywhere!,Negative,-0.21,Privacy Concerns,Medium,Branch,2024-11-14,Open,,Students,Push Notification,False,False
FB30043,CMP12462,App crashed when I tried to avail the campaign offer. Losing trust!,Negative,-0.11,Spam/Excessive Messages,Medium,Email,2024-09-23,Closed,164.0,Women Professionals,SMS,False,False
FB30044,CMP15384,Timely SMS about FD rate increase helped me invest at the right time. Thanks!,Positive,0.38,Appreciation,Low,Chatbot,2025-08-22,Escalated,8.0,First-Time Borrowers,SMS,False,False
FB30045,CMP13146,The app notification for bill payment reminder was helpful. Avoided late fee!,Positive,0.81,Appreciation,Low,Call Center,2023-01-25,Resolved,104.0,High-Value Transactors,Email,False,False
FB30046,CMP10862,The offer mentioned in SMS is not applicable to my account. Misleading information!,Negative,-0.28,Irrelevant Offers,Low,Social Media,2023-01-19,In Progress,40.0,Women Professionals,SMS,False,False
FB30047,CMP14945,Campaign said instant approval but waiting for 5 days now. False promise!,Negative,-0.2,Misleading Information,Medium,Call Center,2025-10-22,In Progress,16.0,Women Professionals,Email,False,False
FB30048,CMP15442,Your executive called me during office hours for loan offer. Very unprofessional!,Negative,-0.15,Unsubscribe Failed,Medium,Chatbot,2024-01-05,In Progress,135.0,Premium Card Holders,Email,False,False
FB30049,CMP18816,I opted out of marketing communications but still getting WhatsApp promotions.,Very Negative,-0.46,Unsubscribe Failed,Critical,Call Center,2025-05-03,Resolved,,IT Professionals,Call Center,False,True
FB30050,CMP13229,The offer expired but I still received promotional SMS for it. Waste of time!,Negative,-0.23,Privacy Concerns,High,Survey,2023-09-28,In Progress,161.0,Retired Professionals,Email,False,True
FB30051,CMP17476,The offer expired but I still received promotional SMS for it. Waste of time!,Negative,-0.07,Unsubscribe Failed,High,Email,2024-02-19,Escalated,37.0,Premium Card Holders,Call Center,False,True
FB30052,CMP17056,The festive offer on home loan saved me a lot on processing fees. Happy customer!,Positive,0.87,Appreciation,Low,App Review,2024-01-15,Open,69.0,Mass Affluent,WhatsApp,True,False
FB30053,CMP14792,General inquiry about the campaign offer.,Neutral,0.24,General Inquiry,Low,Email,2024-12-12,Escalated,116.0,NRI Customers,Push Notification,False,False
FB30054,CMP13497,Keep getting duplicate messages on both SMS and WhatsApp. Very annoying!,Negative,-0.26,Poor Timing,Medium,Call Center,2025-03-30,Closed,140.0,SMB Owners,WhatsApp,False,False
FB30055,CMP11043,Too many promotional SMS from your bank. Please stop sending these messages!,Negative,-0.05,Spam/Excessive Messages,Critical,Survey,2024-07-16,Open,123.0,Government Employees,SMS,False,True
